datetime,platform,username,candidate_name,text,comment_count,view_count,like_count,url,num_interaction
2024-01-01 23:30:40,instagram,La Octava,Xóchitl Gálvez,"Margarita Zavala pide como deseo de 2024 que ‘gane Xóchitl Gálvez’

@mzavalagc, integrante de la campaña de la precandidata de oposición, dejó un corto mensaje en redes sociales sobre sus aspiraciones para el año que comienza. ¿Qué opinas?

#margaritazavala #elecciones2024 #xóchitlgálvez #news #laoctava",0,0,0,https://www.instagram.com/p/C1k368hOsCW/,484
2024-01-02 00:25:06,instagram,8 Columnas®,Claudia Sheinbaum,"💪👨‍💼 ¡Gobernadores de la 4T afinan su compromiso!

En un contundente respaldo al proyecto de la Cuarta Transformación liderada por el presidente Andrés Manuel López Obrador, así como a la precandidatura presidencial de Claudia Sheinbaum, los gobernadores estatales y el jefe de gobierno de la Ciudad de México han ampliado la información sobre su compromiso.

📷Cred.: Especial 

¡No olvides visitar nuestro sitio web para conocer más! Link en la bio. 

#8columnas #AMLO #4t #ClaudiaSheinbaum #Respaldo #Morena",0,0,0,https://www.instagram.com/p/C1k-JnirhWM/,5
2024-01-02 00:44:37,instagram,Chismecito Político,Xóchitl Gálvez,"Noroña arremete contra la campaña de Xóchitl Gálvez, pues todo el tiempo se la pasa hablando de AMLO",0,0,0,https://www.instagram.com/p/C1lAYieuyN_/,1621
2024-01-02 01:08:15,instagram,Latinus,Xóchitl Gálvez,"'@xochitlgalvez pidió al presidente @lopezobrador no tomar la seguridad el país como una broma y dejar de criminalizar a las víctimas de hechos violentos.
“Deje de reírse de la gente, no se burle de las víctimas, no criminalicé a los jóvenes deje de mentir diciendo que no hay problemas, no invente los datos, pero, sobre todo, deje de tomar a broma la seguridad”, dijo la precandidata presidencial de la alianza Fuerza y Corazón por México.
Conoce más información en el link de nuestra bio.
#Latinus #InformaciónParaTi",0,0,0,https://www.instagram.com/p/C1lDFopo_rz/,14476
2024-01-02 05:07:47,instagram,quiero tv,Claudia Sheinbaum,"👥En el podcast #DIRECTO24 de @quiero_tv hablamos de las precampañas en el Estado; Claudia Sheinbaum visita Jalisco; inseguridad en el país; superfarmacia de AMLO. 

▶️https://open.spotify.com/episode/7sfSdBN1BZRWpQohy8RBVg?si=mf7S5GoUTICxxglykSWUfw 
🎧Google Podcast
📲ITunes
📶 https://go.ivoox.com/rf/121929150",0,0,0,https://www.instagram.com/p/C1legDwsdB1/,4
2024-01-02 05:34:06,instagram,Vanguardia de Veracruz,Claudia Sheinbaum,"📲 Fue a través de sus redes sociales en las que Arturo Zaldívar calificó el año 2024 como el decisivo de la doctora Claudia Sheinbaum para ganar la presidencia. 👩‍💼 #CDMX 
Más información 👇
https://wp.me/pd7s0Q-1u8Y",0,0,0,https://www.instagram.com/p/C1lhg2nNQ-R/,1
2024-01-02 12:50:05,instagram,Cat D | _basicbookworm,Xóchitl Gálvez,"24 in 2024

I have 2 very full shelves of unread books, many of which have been sitting there unread for well over a year. To help me reduce this list slightly, I am participating in the 24 in 24 challenge. It was hard choosing only 24 backlist books that I wanted to commit to reading this year, and tbh this is about my 5th stack that I took pics of. But I think this is a list worth sticking to. I decided for this challenge to prioritize diversifying my reading and I chose books from authors that represent different perspectives - I’m hoping in 2024 to continue to be intentional about reading books from LGBTQIA+ and BIPOC authors but also books that share other perspectives such as disabilities, religions, etc. and I thought this list was a great place to start. I’m excited to dive into these books this year. Let me know if you see any favorites in this stack.

Huge thanks to @bookswithnopictures and @lemonyreads for hosting this #backlistbooks24 challenge!",0,0,0,https://www.instagram.com/p/C1mTaBiLIRo/,76
2024-01-02 13:30:18,instagram,Xochitl Chips & Salsas,Xóchitl Gálvez,We believe in snacking without compromise 💯 Xochitl Chips and Salsa are made with love and premium ingredients for a taste that stands out ❤️🌶️ #xochitl #xochitlchipsandsalsa #chipsandsalsa,0,0,0,https://www.instagram.com/p/C1mYAVesJGn/,5
2024-01-02 13:59:28,instagram,pejelanndia,Claudia Sheinbaum,"Oye Página · 10 mill. seguidores 

Aprovecha ese Palacio hoy, juega a las escondidas ahí con la zopilota o lo que te dé la gana, pero aprovecha hoy, porque en 2024 te vas a chingar a tu madre junto con Claudia Sheinbaum Pardo y ese NUESTRO Palacio volverá a ser museo, obvio, primero lo desinfectamos y hacemos auditoría

 #NiUnVotoAMORENA2024 #AcapulcoEsUnGuerrero #Villahermosa #desaparecidos #Ecocidio #Presupuesto #Sheinbaum #fideicomisos #SeñoraX #LaNaturalezaNoPerdonaNunca #SantaLucía #AndresManuelElFraude #FelizFinDeAMLO #Oaxaca #Segalmex #Huehuetoca #Otis #caprichospendejos",0,0,0,https://www.instagram.com/p/C1mbWPPOgIf/,2
2024-01-02 15:27:47,instagram,Reporte Índigo,Xóchitl Gálvez,"Xóchitl Gálvez se lanza contra el gobierno de AMLO por el aumento en la gasolina.

El precio de la gasolina Magna o regular alcanzó ayer un máximo de 28.99 pesos por litro. Esto, en una estación de servicio ubicada en Veracruz, según información de la plataforma PETROIntelligence.",0,0,0,https://www.instagram.com/p/C1mldEQuiF5/,494
